02:50:04.674 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
02:50:04.683 [main] INFO  c.Devansh.Journal.JournalApplication - Starting JournalApplication using Java 1.8.0_202 on Devansh with PID 1996 (E:\Projects Java\Journal-Application\target\classes started by Devansh in E:\Projects Java\Journal-Application)
02:50:04.684 [main] INFO  c.Devansh.Journal.JournalApplication - The following 2 profiles are active: "dev", "prod"
02:50:05.704 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
02:50:05.772 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 59 ms. Found 2 MongoDB repository interfaces.
02:50:06.696 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
02:50:06.706 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
02:50:06.709 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
02:50:06.709 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
02:50:06.941 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
02:50:06.942 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2190 ms
